One	一
two	二
three	三
four	四
five	五
six	六
seven	七
eight	八
nine	九
ten	十
mouth	口
day	日
month	月
rice field	田
eye	目
old	古
I	吾
risk	冒
companion	朋
bright	明
chant	唱
sparkle	晶
goods	品
spine	呂
prosperous	昌
early	早
rising sun	旭
generation	世
stomach	胃
nightbreak	旦
